Абсолютный путь,Относительный путь,Метка класса
modified_dataset\tiger_0000.jpg,tiger_0000.jpg,tiger
modified_dataset\tiger_0001.jpg,tiger_0001.jpg,tiger
modified_dataset\tiger_0002.jpg,tiger_0002.jpg,tiger
modified_dataset\tiger_0003.jpg,tiger_0003.jpg,tiger
modified_dataset\tiger_0004.jpg,tiger_0004.jpg,tiger
modified_dataset\tiger_0005.jpg,tiger_0005.jpg,tiger
modified_dataset\tiger_0006.jpg,tiger_0006.jpg,tiger
modified_dataset\tiger_0007.jpg,tiger_0007.jpg,tiger
modified_dataset\tiger_0008.jpg,tiger_0008.jpg,tiger
modified_dataset\tiger_0009.jpg,tiger_0009.jpg,tiger
modified_dataset\tiger_0010.jpg,tiger_0010.jpg,tiger
modified_dataset\tiger_0011.jpg,tiger_0011.jpg,tiger
modified_dataset\tiger_0012.jpg,tiger_0012.jpg,tiger
modified_dataset\tiger_0013.jpg,tiger_0013.jpg,tiger
modified_dataset\tiger_0014.jpg,tiger_0014.jpg,tiger
modified_dataset\tiger_0015.jpg,tiger_0015.jpg,tiger
modified_dataset\tiger_0016.jpg,tiger_0016.jpg,tiger
modified_dataset\tiger_0017.jpg,tiger_0017.jpg,tiger
modified_dataset\tiger_0018.jpg,tiger_0018.jpg,tiger
modified_dataset\tiger_0019.jpg,tiger_0019.jpg,tiger
modified_dataset\tiger_0020.jpg,tiger_0020.jpg,tiger
modified_dataset\tiger_0021.jpg,tiger_0021.jpg,tiger
modified_dataset\tiger_0022.jpg,tiger_0022.jpg,tiger
modified_dataset\tiger_0023.jpg,tiger_0023.jpg,tiger
modified_dataset\tiger_0024.jpg,tiger_0024.jpg,tiger
modified_dataset\tiger_0025.jpg,tiger_0025.jpg,tiger
modified_dataset\tiger_0026.jpg,tiger_0026.jpg,tiger
modified_dataset\tiger_0027.jpg,tiger_0027.jpg,tiger
modified_dataset\tiger_0028.jpg,tiger_0028.jpg,tiger
modified_dataset\tiger_0029.jpg,tiger_0029.jpg,tiger
modified_dataset\leopard_0000.jpg,leopard_0000.jpg,leopard
modified_dataset\leopard_0001.jpg,leopard_0001.jpg,leopard
modified_dataset\leopard_0002.jpg,leopard_0002.jpg,leopard
modified_dataset\leopard_0003.jpg,leopard_0003.jpg,leopard
modified_dataset\leopard_0004.jpg,leopard_0004.jpg,leopard
modified_dataset\leopard_0005.jpg,leopard_0005.jpg,leopard
modified_dataset\leopard_0006.jpg,leopard_0006.jpg,leopard
modified_dataset\leopard_0007.jpg,leopard_0007.jpg,leopard
modified_dataset\leopard_0008.jpg,leopard_0008.jpg,leopard
modified_dataset\leopard_0009.jpg,leopard_0009.jpg,leopard
modified_dataset\leopard_0010.jpg,leopard_0010.jpg,leopard
modified_dataset\leopard_0011.jpg,leopard_0011.jpg,leopard
modified_dataset\leopard_0012.jpg,leopard_0012.jpg,leopard
modified_dataset\leopard_0013.jpg,leopard_0013.jpg,leopard
modified_dataset\leopard_0014.jpg,leopard_0014.jpg,leopard
modified_dataset\leopard_0015.jpg,leopard_0015.jpg,leopard
modified_dataset\leopard_0016.jpg,leopard_0016.jpg,leopard
modified_dataset\leopard_0017.jpg,leopard_0017.jpg,leopard
modified_dataset\leopard_0018.jpg,leopard_0018.jpg,leopard
modified_dataset\leopard_0019.jpg,leopard_0019.jpg,leopard
modified_dataset\leopard_0020.jpg,leopard_0020.jpg,leopard
modified_dataset\leopard_0021.jpg,leopard_0021.jpg,leopard
modified_dataset\leopard_0022.jpg,leopard_0022.jpg,leopard
modified_dataset\leopard_0023.jpg,leopard_0023.jpg,leopard
modified_dataset\leopard_0024.jpg,leopard_0024.jpg,leopard
modified_dataset\leopard_0025.jpg,leopard_0025.jpg,leopard
modified_dataset\leopard_0026.jpg,leopard_0026.jpg,leopard
modified_dataset\leopard_0027.jpg,leopard_0027.jpg,leopard
modified_dataset\leopard_0028.jpg,leopard_0028.jpg,leopard
modified_dataset\leopard_0029.jpg,leopard_0029.jpg,leopard
