Абсолютный путь,Относительный путь,Метка класса
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0000.jpg,tiger\0000.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0001.jpg,tiger\0001.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0002.jpg,tiger\0002.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0003.jpg,tiger\0003.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0004.jpg,tiger\0004.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0005.jpg,tiger\0005.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0006.jpg,tiger\0006.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0007.jpg,tiger\0007.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0008.jpg,tiger\0008.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0009.jpg,tiger\0009.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0010.jpg,tiger\0010.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0011.jpg,tiger\0011.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0012.jpg,tiger\0012.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0013.jpg,tiger\0013.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0014.jpg,tiger\0014.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0015.jpg,tiger\0015.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0016.jpg,tiger\0016.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0017.jpg,tiger\0017.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0018.jpg,tiger\0018.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0019.jpg,tiger\0019.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0020.jpg,tiger\0020.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0021.jpg,tiger\0021.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0022.jpg,tiger\0022.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0023.jpg,tiger\0023.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0024.jpg,tiger\0024.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0025.jpg,tiger\0025.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0026.jpg,tiger\0026.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0027.jpg,tiger\0027.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0028.jpg,tiger\0028.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\tiger\0029.jpg,tiger\0029.jpg,tiger
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0000.jpg,leopard\0000.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0001.jpg,leopard\0001.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0002.jpg,leopard\0002.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0003.jpg,leopard\0003.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0004.jpg,leopard\0004.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0005.jpg,leopard\0005.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0006.jpg,leopard\0006.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0007.jpg,leopard\0007.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0008.jpg,leopard\0008.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0009.jpg,leopard\0009.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0010.jpg,leopard\0010.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0011.jpg,leopard\0011.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0012.jpg,leopard\0012.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0013.jpg,leopard\0013.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0014.jpg,leopard\0014.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0015.jpg,leopard\0015.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0016.jpg,leopard\0016.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0017.jpg,leopard\0017.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0018.jpg,leopard\0018.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0019.jpg,leopard\0019.jpg,leopard
C:/Users/User/Downloads/Лабораторные/Декларативное программирование/Programs/dataset\leopard\0020.jpg,leopard\0020.jpg,leopard
